Round,Theme,Variable,Description,Groups,Countries Covered,,question - do all countries have info for all rounds,,,,,
"9, 11",Socio-demographics,edlvdrs,"Highest level of education, Serbia",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 9, 10, 11",Socio-demographics,edlvdsk,"Highest level of education, Slovakia",Education level,"Belgium, Cyprus, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Socio-demographics,edlvesi,"Highest level of education, Slovenia",Education level,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvies,"Highest level of education, Spain",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 11",Socio-demographics,edlvdse,"Highest level of education, Sweden",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvdch,"Highest level of education, Switzerland",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,educgb1,"Highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edubgb2,"Highest level of education, United Kingdom: Up to Ph.D or equivalent",Education level,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edagegb,"Age when completed full time education, United Kingdom",Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,eduyrs,Years of full-time education completed,Education level,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,pdwrk,Doing last 7 days: paid work,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edctn,Doing last 7 days: education,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uempla,"Doing last 7 days: unemployed, actively looking for job",Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uempli,"Doing last 7 days: unemployed, not actively looking for job",Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dsbld,Doing last 7 days: permanently sick or disabled,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,rtrd,Doing last 7 days: retired,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,cmsrv,Doing last 7 days: community or military service,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,hswrk,"Doing last 7 days: housework, looking after children, others",Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngoth,Doing last 7 days: other,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngref,Doing last 7 days: refusal,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngdk,Doing last 7 days: don't know,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngna,Doing last 7 days: no answer,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,mainact,Main activity last 7 days,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,mnactic,"Main activity, last 7 days. All respondents. Post coded",Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,crpdwk,Control paid work last 7 days,Employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,pdjobev,Ever had a paid job,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,pdjobyr,Year last in paid job,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,emplrel,Employment relation,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,emplno,Number of employees respondent has/had,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,wrkctra,Employment contract unlimited or limited duration,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,estsz,Establishment size,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,jbspv,Responsible for supervising other employees,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,njbspv,Number of people responsible for in job,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,wkdcorga,Allowed to decide how daily work is organised,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,iorgact,Allowed to influence policy decisions about activities of organisation,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,wkhct,Total contracted hours per week in main job overtime excluded,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,wkhtot,Total hours normally worked per week in main job overtime included,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,nacer2,"Industry, NACE rev.2",Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,tporgwk,What type of organisation work/worked for,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Socio-demographics,isco08,"Occupation, ISCO08",Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,wrkac6m,"Paid work in another country, period more than 6 months last 10 years",Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uemp3m,Ever unemployed and seeking work for a period more than three months,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uemp12m,Any period of unemployment and work seeking lasted 12 months or more,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uemp5yr,Any period of unemployment and work seeking within last 5 years,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,mbtru,Member of trade union or similar organisation,Work conditions and job details,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,hincsrca,Main source of household income,Household income and financial situation,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,hinctnta,"Household's total net income, all sources",Household income and financial situation,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,hincfel,Feeling about household's income nowadays,Household income and financial situation,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edulvlpb,Partner's highest level of education,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,eiscedp,"Partner's highest level of education, ES - ISCED",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvpfat,"Partner's highest level of education, Austria",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 7, 8, 9, 10, 11",Socio-demographics,edlvpebe,"Partner's highest level of education, Belgium",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edlvpehr,"Partner's highest level of education, Croatia",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvpgcy,"Partner's highest level of education, Cyprus",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvpdfi,"Partner's highest level of education, Finland",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvpdfr,"Partner's highest level of education, France",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edupdde1,"Partner's highest level of education, Germany: höchster allgemeinbildender Schulabschluss",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edupcde2,"Partner's highest level of education, Germany: höchster Studienabschluss",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvpegr,"Partner's highest level of education, Greece",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvpdahu,"Partner's highest level of education, Hungary",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"6, 8, 9, 10, 11",Socio-demographics,edlvpdis,"Partner's highest level of education, Iceland",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvpdie,"Partner's highest level of education, Ireland",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvpfit,"Partner's highest level of education, Italy",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvpdlt,"Partner's highest level of education, Lithuania",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"7, 8, 9, 10, 11",Socio-demographics,edlvpenl,"Partner's highest level of education, Netherlands",Partner's education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"10, 11",Socio-demographics,edlvpeno,"Partner's highest level of education, Norway",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvphpl,"Partner's highest level of education, Poland",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvpept,"Partner's highest level of education, Portugal",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 11",Socio-demographics,edlvpdrs,"Partner's highest level of education, Serbia",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 9, 10, 11",Socio-demographics,edlvpdsk,"Partner's highest level of education, Slovakia",Partner's education and employment status,"Belgium, Cyprus, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"8, 9, 10, 11",Socio-demographics,edlvpesi,"Partner's highest level of education, Slovenia",Partner's education and employment status,"Austria, Belgium, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
11,Socio-demographics,edlvphes,"Partner's highest level of education, Spain",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Greece, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 11",Socio-demographics,edlvpdse,"Partner's highest level of education, Sweden",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edlvpdch,"Partner's highest level of education, Switzerland",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edupcgb1,"Partner's highest level of education, United Kingdom: Up to 2 or more A-levels or equivalent",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"9, 10, 11",Socio-demographics,edupbgb2,"Partner's highest level of education, United Kingdom: Up to Ph.D or equivalent",Partner's education and employment status,"Austria, Belgium, Croatia, Cyprus, Czechia, Finland, France, Germany, Hungary, Iceland, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Serbia, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edagepgb,"Partner's age when completed full time education, United Kingdom",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,pdwrkp,Partner doing last 7 days: paid work,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,edctnp,Partner doing last 7 days: education,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uemplap,"Partner doing last 7 days: unemployed, actively looking for job",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,uemplip,"Partner doing last 7 days: unemployed, not actively looking for job",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dsbldp,Partner doing last 7 days: permanently sick or disabled,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,rtrdp,Partner doing last 7 days: retired,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,cmsrvp,Partner doing last 7 days: community or military service,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,hswrkp,"Partner doing last 7 days: housework, looking after children, others",Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngothp,Partner doing last 7 days: other,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngdkp,Partner doing last 7 days: don't know,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngnapp,Partner doing last 7 days: not applicable,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
"5, 6, 7, 8, 9, 10, 11",Socio-demographics,dngrefp,Partner doing last 7 days: refusal,Partner's education and employment status,"Belgium, Czechia, Finland, France, Germany, Hungary, Ireland, Lithuania, Netherlands, Norway, Poland, Portugal, Slovenia, Spain, Sweden, Switzerland, United Kingdom",,,,,,,
